DATE,,,,IC4WSA,,
2,23,1985,,391750,,
3,2,1985,,388750,,
3,9,1985,,384750,,
3,16,1985,,383750,,
3,23,1985,,379500,,
3,30,1985,,382500,,
4,6,1985,,387500,,
4,13,1985,,393750,,
4,20,1985,,398250,,
4,27,1985,,398250,,
5,4,1985,,394500,,
5,11,1985,,390250,,
5,18,1985,,390250,,
5,25,1985,,392750,,
6,1,1985,,393500,,
6,8,1985,,395750,,
6,15,1985,,395500,,
6,22,1985,,393000,,
6,29,1985,,392250,,
7,6,1985,,390250,,
7,13,1985,,389250,,
7,20,1985,,385250,,
7,27,1985,,378250,,
8,3,1985,,381250,,
8,10,1985,,385250,,
8,17,1985,,392500,,
8,24,1985,,403250,,
8,31,1985,,403750,,
9,7,1985,,409750,,
9,14,1985,,412000,,
9,21,1985,,411000,,
9,28,1985,,408500,,
10,5,1985,,403250,,
10,12,1985,,401250,,
10,19,1985,,401000,,
10,26,1985,,405750,,
11,2,1985,,404000,,
11,9,1985,,403250,,
11,16,1985,,402500,,
11,23,1985,,393500,,
11,30,1985,,392250,,
12,7,1985,,392750,,
12,14,1985,,389000,,
12,21,1985,,386000,,
12,28,1985,,385250,,
1,4,1986,,376000,,
1,11,1986,,379750,,
1,18,1986,,378250,,
1,25,1986,,366750,,
2,1,1986,,367250,,
2,8,1986,,359500,,
2,15,1986,,358000,,
2,22,1986,,369500,,
3,1,1986,,372250,,
3,8,1986,,372250,,
3,15,1986,,378250,,
3,22,1986,,377500,,
3,29,1986,,382750,,
4,5,1986,,386500,,
4,12,1986,,388000,,
4,19,1986,,387000,,
4,26,1986,,385750,,
5,3,1986,,388500,,
5,10,1986,,390250,,
5,17,1986,,390500,,
5,24,1986,,389250,,
5,31,1986,,384500,,
6,7,1986,,379500,,
6,14,1986,,375750,,
6,21,1986,,371000,,
6,28,1986,,370500,,
7,5,1986,,369500,,
7,12,1986,,367500,,
7,19,1986,,364250,,
7,26,1986,,362000,,
8,2,1986,,373250,,
8,9,1986,,387000,,
8,16,1986,,400250,,
8,23,1986,,409000,,
8,30,1986,,405250,,
9,6,1986,,401250,,
9,13,1986,,398000,,
9,20,1986,,398500,,
9,27,1986,,395500,,
10,4,1986,,393250,,
10,11,1986,,391500,,
10,18,1986,,388000,,
10,25,1986,,383250,,
11,1,1986,,376500,,
11,8,1986,,367000,,
11,15,1986,,362750,,
11,22,1986,,362500,,
11,29,1986,,363000,,
12,6,1986,,366500,,
12,13,1986,,368250,,
12,20,1986,,363500,,
12,27,1986,,358250,,
1,3,1987,,348250,,
1,10,1987,,341500,,
1,17,1987,,339250,,
1,24,1987,,339500,,
1,31,1987,,351250,,
2,7,1987,,356250,,
2,14,1987,,355500,,
2,21,1987,,354250,,
2,28,1987,,348750,,
3,7,1987,,341000,,
3,14,1987,,340250,,
3,21,1987,,338750,,
3,28,1987,,333250,,
4,4,1987,,331500,,
4,11,1987,,332250,,
4,18,1987,,335750,,
4,25,1987,,336250,,
5,2,1987,,336250,,
5,9,1987,,330500,,
5,16,1987,,328500,,
5,23,1987,,332250,,
5,30,1987,,331250,,
6,6,1987,,334500,,
6,13,1987,,328250,,
6,20,1987,,322250,,
6,27,1987,,322250,,
7,4,1987,,321750,,
7,11,1987,,322000,,
7,18,1987,,319750,,
